State,2023,2024
Alabama,5117673,5157699
Alaska,736510,740133
Arizona,7473027,7582384
Arkansas,3069463,3088354
California,39198693,39431263
Colorado,5901339,5957493
Connecticut,3643023,3675069
Delaware,1036423,1051917
District of Columbia,687324,702250
Florida,22904868,23372215
Georgia,11064432,11180878
Hawaii,1441387,1446146
Idaho,1971122,2001619
Illinois,12642259,12710158
Indiana,6880131,6924275
Iowa,3218414,3241488
Kansas,2951500,2970606
Kentucky,4550595,4588372
Louisiana,4588071,4597740
Maine,1399646,1405012
Maryland,6217062,6263220
Massachusetts,7066568,7136171
Michigan,10083356,10140459
Minnesota,5753048,5793151
Mississippi,2943172,2943045
Missouri,6208038,6245466
Montana,1131302,1137233
Nebraska,1987864,2005465
Nevada,3214363,3267467
New Hampshire,1402199,1409032
New Jersey,9379642,9500851
New Mexico,2121164,2130256
New York,19737367,19867248
North Carolina,10881189,11046024
North Dakota,789047,796568
Ohio,11824034,11883304
Oklahoma,4063882,4095393
Oregon,4253653,4272371
Pennsylvania,13017721,13078751
Rhode Island,1103429,1112308
South Carolina,5387830,5478831
South Dakota,918305,924669
Tennessee,7148304,7227750
Texas,30727890,31290831
Utah,3443222,3503613
Vermont,648708,648493
Virginia,8734685,8811195
Washington,7857320,7958180
West Virginia,1770495,1769979
Wisconsin,5930405,5960975
Wyoming,585067,587618
Puerto Rico,3203792,3203295
